anchor,variant,edit_distance,description,model,trained_cos,kron_cos,bucket,anchor_pieces,variant_pieces
nation,nation,0,self,qwen3-32B,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,qwen3-32B,0.2199,0.8332,same_canonical,1,1
nation,nations,1,morph_+s,qwen3-32B,0.1146,0.9258,morphological,1,2
nation,national,2,morph_+al,qwen3-32B,0.1263,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,qwen3-32B,0.0828,0.7744,morphological,1,2
nation,station,1,near_unrelated,qwen3-32B,0.1267,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,qwen3-32B,0.0841,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,qwen3-32B,0.1384,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,qwen3-32B,0.0074,0.1536,unrelated,1,2
import,import,0,self,qwen3-32B,1.0000,1.0000,self,1,1
import,Import,1,case_swap,qwen3-32B,0.1206,0.8332,same_canonical,1,1
import,imports,1,morph_+s,qwen3-32B,0.0655,0.9258,morphological,1,1
import,imported,2,morph_+ed,qwen3-32B,0.7688,0.8659,morphological,1,2
import,importing,3,morph_+ing,qwen3-32B,0.7486,0.8163,morphological,1,2
import,important,3,near_unrelated,qwen3-32B,0.0345,0.8163,unrelated,1,1
import,export,2,antonym,qwen3-32B,0.2109,0.6664,unrelated,1,1
import,kitchen,7,unrelated,qwen3-32B,-0.0017,-0.0008,unrelated,1,2
code,code,0,self,qwen3-32B,1.0000,1.0000,self,1,1
code,Code,1,case_swap,qwen3-32B,0.2230,0.7499,same_canonical,1,1
code,codes,1,morph_+s,qwen3-32B,0.1691,0.8944,morphological,1,1
code,coded,1,morph_+d,qwen3-32B,0.1025,0.8944,morphological,1,1
code,coding,2,morph_+ing,qwen3-32B,0.0820,0.6121,morphological,1,1
code,codec,1,morph_+c,qwen3-32B,0.0828,0.8944,morphological,1,1
code,decode,2,morph_prefix,qwen3-32B,0.1182,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,qwen3-32B,0.1215,-0.0006,morphological,1,1
code,kitchen,6,unrelated,qwen3-32B,0.0412,-0.0006,unrelated,1,2
run,run,0,self,gemma-3-1B-pt,1.0000,1.0000,self,1,1
run,Run,1,case_swap,gemma-3-1B-pt,0.7753,0.6665,same_canonical,1,1
run,RUN,3,all_caps,gemma-3-1B-pt,0.7085,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,gemma-3-1B-pt,0.6857,0.8660,morphological,1,1
run,ran,2,morph_irregular,gemma-3-1B-pt,0.4345,0.6665,morphological,1,1
run,runner,3,morph_+er,gemma-3-1B-pt,0.4316,0.7070,morphological,1,1
run,running,4,morph_+ing,gemma-3-1B-pt,0.5575,0.6545,morphological,1,1
run,rune,1,near_unrelated,gemma-3-1B-pt,0.2883,0.8660,unrelated,1,1
run,road,3,unrelated_short,gemma-3-1B-pt,0.1252,0.2884,unrelated,1,1
run,kitchen,6,unrelated_long,gemma-3-1B-pt,0.0108,-0.0006,unrelated,1,1
compute,compute,0,self,gemma-3-1B-pt,1.0000,1.0000,self,1,1
compute,Compute,1,case_swap,gemma-3-1B-pt,0.6369,0.8570,same_canonical,1,1
compute,computes,1,morph_+s,gemma-3-1B-pt,0.2918,0.9353,morphological,1,2
compute,computed,1,morph_+d,gemma-3-1B-pt,0.4310,0.9353,morphological,1,1
compute,computer,1,morph_+r,gemma-3-1B-pt,0.2974,0.9353,morphological,1,1
compute,computing,2,morph_+ing,gemma-3-1B-pt,0.4904,0.7557,morphological,1,1
compute,computation,3,morph_+ation,gemma-3-1B-pt,0.4737,0.6834,morphological,1,1
compute,commute,1,near_unrelated,gemma-3-1B-pt,0.0693,0.8570,unrelated,1,2
compute,compose,2,unrelated,gemma-3-1B-pt,0.2038,0.7140,unrelated,1,1
compute,kitchen,7,unrelated_long,gemma-3-1B-pt,0.0695,-0.0009,unrelated,1,1
nation,nation,0,self,gemma-3-1B-pt,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,gemma-3-1B-pt,0.7248,0.8332,same_canonical,1,1
nation,nations,1,morph_+s,gemma-3-1B-pt,0.3170,0.9258,morphological,1,2
nation,national,2,morph_+al,gemma-3-1B-pt,0.5228,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,gemma-3-1B-pt,0.7285,0.7744,morphological,1,2
nation,station,1,near_unrelated,gemma-3-1B-pt,0.1597,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,gemma-3-1B-pt,0.1599,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,gemma-3-1B-pt,0.2388,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,gemma-3-1B-pt,0.0188,0.1536,unrelated,1,1
import,import,0,self,gemma-3-1B-pt,1.0000,1.0000,self,1,1
import,Import,1,case_swap,gemma-3-1B-pt,0.6482,0.8332,same_canonical,1,1
import,imports,1,morph_+s,gemma-3-1B-pt,0.4910,0.9258,morphological,1,1
import,imported,2,morph_+ed,gemma-3-1B-pt,0.4699,0.8659,morphological,1,1
import,importing,3,morph_+ing,gemma-3-1B-pt,0.7334,0.8163,morphological,1,2
import,important,3,near_unrelated,gemma-3-1B-pt,0.3314,0.8163,unrelated,1,1
import,export,2,antonym,gemma-3-1B-pt,0.5512,0.6664,unrelated,1,1
import,kitchen,7,unrelated,gemma-3-1B-pt,0.0058,-0.0008,unrelated,1,1
code,code,0,self,gemma-3-1B-pt,1.0000,1.0000,self,1,1
code,Code,1,case_swap,gemma-3-1B-pt,0.8344,0.7499,same_canonical,1,1
code,codes,1,morph_+s,gemma-3-1B-pt,0.7279,0.8944,morphological,1,1
code,coded,1,morph_+d,gemma-3-1B-pt,0.5127,0.8944,morphological,1,1
code,coding,2,morph_+ing,gemma-3-1B-pt,0.5127,0.6121,morphological,1,1
code,codec,1,morph_+c,gemma-3-1B-pt,0.1963,0.8944,morphological,1,1
code,decode,2,morph_prefix,gemma-3-1B-pt,0.1586,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,gemma-3-1B-pt,0.2478,-0.0006,morphological,1,1
code,kitchen,6,unrelated,gemma-3-1B-pt,0.0314,-0.0006,unrelated,1,1
run,run,0,self,deepseek-v3-base,1.0000,1.0000,self,1,1
run,Run,1,case_swap,deepseek-v3-base,0.5213,0.6665,same_canonical,1,1
run,RUN,3,all_caps,deepseek-v3-base,0.3486,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,deepseek-v3-base,0.2848,0.8660,morphological,1,2
run,ran,2,morph_irregular,deepseek-v3-base,0.2038,0.6665,morphological,1,1
run,runner,3,morph_+er,deepseek-v3-base,0.2280,0.7070,morphological,1,1
run,running,4,morph_+ing,deepseek-v3-base,0.3362,0.6545,morphological,1,1
